KD,MODEL,QTY,BULAN,DEALER,REGION,STATUS,PROVINCE,MOTHER DLR
525,BRIO SATYA,13,8,Honda Arista Banda Aceh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,13,9,Honda Arista Banda Aceh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,13,10,Honda Arista Banda Aceh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,13,11,Honda Arista Banda Aceh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,12,Honda Arista Banda Aceh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,1,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,15,2,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,17,3,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,15,4,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,16,5,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,15,6,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,15,7,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,8,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,13,9,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,10,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,11,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
525,BRIO SATYA,14,12,Honda Arista Banda Aceh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,1,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,2,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,3,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,4,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,5,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,6,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,7,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,8,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,9,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,10,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,11,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,12,Honda Arista Meulaboh,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,1,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,2,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,6,3,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,4,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,5,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,6,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,7,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,8,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,9,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,10,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,11,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,12,Honda Arista Meulaboh,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,1,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,2,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,6,3,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,4,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,5,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,6,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,5,7,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,8,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,9,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,10,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,11,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
561,BRIO SATYA,4,12,Honda Arista Meulaboh,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,1,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,2,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,3,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,4,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,5,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,6,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,7,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,4,8,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,4,9,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,4,10,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,4,11,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,12,Honda Arista Lhokseumawe,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,1,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,2,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,7,3,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,4,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,5,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,6,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,7,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,8,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,9,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,10,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,11,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,12,Honda Arista Lhokseumawe,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,1,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,2,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,7,3,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,4,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,5,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,6,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,7,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,8,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,9,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,5,10,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,11,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
562,BRIO SATYA,6,12,Honda Arista Lhokseumawe,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,6,1,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,2,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,3,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,4,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,5,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,6,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,7,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,8,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,9,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,10,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,11,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,12,Honda Arista Langsa,R1,HIGH,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,6,1,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,2,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,6,3,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,4,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,5,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,6,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,7,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,8,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,9,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,10,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,11,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,12,Honda Arista Langsa,R1,MED,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,6,1,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,2,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,6,3,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,4,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,5,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,6,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,5,7,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,8,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,4,9,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,10,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,11,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
566,BRIO SATYA,3,12,Honda Arista Langsa,R1,LOW,D.I. Aceh,Honda Arista Banda Aceh + Branch
503,BRIO SATYA,30,1,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,29,2,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,3,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,4,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,5,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,6,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,7,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,24,8,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,23,9,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,24,10,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,24,11,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,25,12,Honda IDK 1,R1,HIGH,North Sumatera,Honda IDK 1
503,BRIO SATYA,30,1,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,2,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,32,3,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,29,4,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,29,5,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,28,6,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,28,7,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,26,8,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,26,9,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,26,10,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,26,11,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,12,Honda IDK 1,R1,MED,North Sumatera,Honda IDK 1
503,BRIO SATYA,30,1,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,2,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,34,3,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,4,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,5,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,6,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,31,7,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,28,8,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,9,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,27,10,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,28,11,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
503,BRIO SATYA,29,12,Honda IDK 1,R1,LOW,North Sumatera,Honda IDK 1
513,BRIO SATYA,22,1,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,2,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,23,3,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,4,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,5,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,20,6,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,20,7,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,18,8,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,18,9,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,18,10,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,18,11,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,19,12,Honda IDK 2,R1,HIGH,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,1,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,23,2,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,24,3,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,4,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,5,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,6,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,7,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,20,8,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,20,9,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,20,10,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,11,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,12,Honda IDK 2,R1,MED,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,1,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,23,2,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,26,3,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,24,4,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,24,5,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,24,6,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,24,7,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,8,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,9,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,10,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,21,11,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
513,BRIO SATYA,22,12,Honda IDK 2,R1,LOW,North Sumatera,Honda IDK 2
547,BRIO SATYA,11,1,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,2,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,13,3,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,4,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,5,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,6,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,7,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,8,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,9,9,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,10,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,11,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,12,Honda IDK Cemara,R1,HIGH,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,1,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,2,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,13,3,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,4,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,5,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,6,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,7,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,8,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,9,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,10,10,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,11,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,12,Honda IDK Cemara,R1,MED,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,11,1,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,12,2,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,14,3,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,13,4,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,13,5,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
547,BRIO SATYA,13,6,Honda IDK Cemara,R1,LOW,North Sumatera,Honda IDK Cemara
